Category,Metric,ABT,BIO,DHR,HOLX,QDEL
Header,Fiscal Period,2026-Q1,2026-Q1,2026-Q1,2026-Q1,2026-Q1
Header,Statement Date,2026-03-31,2026-03-31,2026-03-31,2025-12-31,2026-03-31
Header,Filing Date,2026-04-29,2026-04-30,2026-04-21,2026-01-29,2026-05-06
Revenue & Margin,Segment-1,Medical Devices,Clinical Diagnostics,"Revenue from Contract with Customer, Measurement, Recurring",Diagnostics,Other
Revenue & Margin,Segment-1 %,48.3%,60.5%,81.9%,44.6%,100.0%
Revenue & Margin,Segment-2,Diagnostic Products,Life Science,"Revenue from Contract with Customer, Measurement, Nonrecurring",Breast Health,-
Revenue & Margin,Segment-2 %,20.2%,39.5%,18.1%,36.2%,-
Revenue & Margin,Segment-3,Nutritional Products,-,-,Gyn Surgical,-
Revenue & Margin,Segment-3 %,19.1%,-,-,16.6%,-
Revenue & Margin,Others,Established Pharmaceutical Products,-,-,Skeletal Health,-
Revenue & Margin,Others %,12.5%,-,-,2.7%,-
Revenue & Margin,Revenue Total ($k),"45,134,000","2,589,900","24,778,000","4,126,400","2,657,200"
Revenue & Margin,Rev-CoGS / Rev,56.38%,51.87%,60.68%,52.82%,44.96%
Revenue & Margin,Rev-CoGS-SG&A / Rev,28.49%,19.30%,27.44%,26.87%,16.41%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,18.17%,9.25%,20.95%,17.49%,-36.85%
Revenue & Margin,Net Income / Rev,13.91%,6.52%,14.89%,13.18%,-45.57%
EBITDA,Net Income ($k),"6,276,000","168,800","3,689,000","543,900","-1,210,900"
EBITDA,D & A ($k),"3,090,000","68,500","2,382,000","295,400","447,800"
EBITDA,Net Interest Expense ($k),"127,000","-31,100","205,000","25,300","179,500"
EBITDA,Tax Provision ($k),"1,861,000","53,500","650,000","119,700","32,500"
EBITDA,EBITDA ($k),"11,354,000","259,700","6,926,000","984,300","-551,100"
EBITDA,Stock-Based Comp ($k),"692,000","-15,300","378,000","81,100","34,200"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,102.67,278.75,181.52,74.50,15.26
Capital Structure,O/S Shares,"1,746,959,000","26,958,000","707,900,000","224,405,000","68,200,000"
Capital Structure,Market Capitalization ($k),"179,360,281","7,514,542","128,498,008","16,718,172","1,040,732"
Capital Structure,Cash ($k),"6,803,000","507,200","5,701,000","2,168,000","140,400"
Capital Structure,Debt ($k),"34,047,000","1,378,200","18,484,000","2,520,300","2,874,700"
Capital Structure,Enterprise Value ($k),"206,604,281","8,385,542","141,281,008","17,070,472","3,775,032"
Capital Structure,netCommonStockIssuance ($k),"-64,000","-44,400","-9,000","8,300","1,800"
Capital Structure,netDebtIssuance ($k),"18,475,000",-100,"309,000",-900,"36,900"
Liquidity & Cash Flow,DSO,65.2,64.9,58.9,53.9,62.3
Liquidity & Cash Flow,DIO,125.8,226.4,98.0,131.1,148.6
Liquidity & Cash Flow,DPO,80.4,38.8,66.1,37.3,59.6
Liquidity & Cash Flow,CCC,110.6,252.5,90.8,147.8,151.3
Liquidity & Cash Flow,OCF ($k),"9,464,000","510,400","6,439,000","1,097,700","6,600"
Liquidity & Cash Flow,CapEx ($k),"-2,086,000","-153,200","-1,148,000","-90,100","-122,000"
Liquidity & Cash Flow,FCF ($k),"7,378,000","357,200","5,291,000","999,600","-75,200"
BQR-Mid-Mkt,Total Debt / Equity,0.7x,0.2x,0.3x,0.5x,1.6x
BQR,Total Debt / Adj Ebitda,3.0x,5.3x,2.7x,2.6x,999.0x
BQR,Adj Ebitda / Interest Expense,89.4x,-999.0x,33.8x,38.9x,-999.0x
BQR,Net Income before extraordinary ($k),"6,276,000","168,800","3,689,000","543,900","-1,210,900"
BQR,(NCO-CAPEX) / Total Debt,21.67%,25.92%,28.62%,39.66%,-2.62%
BQR,Score: Operating Leverage,45,65,45,45,75
BQR,Score: ICR,15,75,15,15,75
BQR,Score: Net Income,15,42,25,35,75
BQR,Score: FCF/Debt,45,42,42,35,75
BQR,BQR,33.0,55.0,34.8,35.5,75.0
