Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,"Equipment Sales, Related Parties, Equipment Sales, Hosting Service, Related Parties, Equipment Sales, Customers",-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,20.5%,-,-
Revenue & Margin,Rev-CoGS / Rev,16.75%,11.88%,6.52%,5.12%,12.57%,23.71%,27.90%,29.76%,30.18%,24.57%,7.66%,-1.05%,-5.25%,1.31%,24.00%,36.62%
Revenue & Margin,Rev-CoGS-SG&A / Rev,-43.78%,-52.63%,-56.11%,-45.84%,-24.43%,-0.65%,7.47%,12.20%,13.23%,4.48%,-15.74%,-25.81%,-41.70%,-33.99%,-0.54%,11.30%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,-28.89%,-39.42%,-53.43%,-44.29%,-29.56%,-3.76%,4.40%,9.33%,10.09%,1.78%,-131.00%,-192.02%,-365.07%,-329.46%,-164.58%,-120.56%
Revenue & Margin,Net Income / Rev,-342.93%,-91.86%,-231.24%,-310.35%,-231.06%,-257.50%,-223.28%,-144.47%,-6.31%,-49.06%,-100.81%,-165.47%,-295.63%,-335.20%,-201.13%,-159.81%
EBITDA,Net Income ($k),"-1,216,497","-293,058","-772,749","-1,081,348","-949,445","-1,315,005","-1,245,157","-831,044","-35,408","-246,487","-485,641","-879,287","-1,680,502","-2,146,318","-1,650,965","-1,232,802"
EBITDA,D & A ($k),"66,323","68,913","92,219","102,787","112,762","120,121","121,908","116,634","105,922","96,445","134,628","175,048","204,190","226,093","177,444","119,452"
EBITDA,Net Interest Expense ($k),"3,767","-3,277","-3,057","4,836","20,796","37,070","119,855","114,979","100,168","86,238","24,409","48,155","75,307","96,826","92,538","80,165"
EBITDA,Tax Provision ($k),978,583,863,872,858,859,820,800,785,683,"-21,142","-10,614","-59,393","-17,091","20,858","9,401"
EBITDA,EBITDA ($k),"-1,145,429","-226,839","-682,724","-972,853","-815,029","-1,156,955","-1,002,574","-598,631","171,467","-63,121","-347,746","-666,698","-1,460,398","-1,840,490","-1,360,125","-1,023,784"
EBITDA,Stock-Based Comp ($k),"99,812","98,236","94,268","84,845","69,169","51,924","45,435","39,773","45,559","58,892","57,760","72,652","169,370","182,894","174,473","173,008"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,14.96,14.56,17.94,17.07,7.24,14.05,11.86,9.85,3.53,3.44,3.44,3.44,3.44,3.44,3.44,3.44
Capital Structure,O/S Shares,"322,911,000","319,603,000","318,562,000","317,985,000","315,186,000","306,146,000","292,486,000","338,780,000","338,780,000","385,074,000","382,483,000","375,779,000","375,419,000","375,225,000","354,195,000","324,967,000"
Capital Structure,Market Capitalization ($k),"4,830,749","4,653,420","5,715,002","5,428,004","2,281,947","4,301,351","3,468,884","3,336,983","1,195,893","1,324,655","1,315,742","1,292,680","1,291,441","1,290,774","1,218,431","1,117,886"
Capital Structure,Cash ($k),"1,005,148","311,378","453,443","581,345","697,942","836,197","253,019","96,122","98,125","50,409","63,943","76,760","47,487","15,884","29,546","128,542"
Capital Structure,Debt ($k),"2,055,595","1,060,325","1,059,007","1,162,460","1,194,153","1,199,769","567,742","620,891","655,735","865,545","864,874","29,196","939,167","37,731","1,050,645","1,148,470"
Capital Structure,Enterprise Value ($k),"5,881,196","5,402,367","6,320,566","6,009,119","2,778,158","4,664,923","3,783,607","3,861,752","1,753,503","2,139,791","2,116,673","1,245,116","2,183,121","1,312,621","2,239,530","2,137,814"
Capital Structure,netCommonStockIssuance ($k),81,"5,165",0,364,266,"-442,108",0,"3,381","51,619",0,0,0,0,"-210,553","9,328","-25,431"
Capital Structure,netDebtIssuance ($k),"993,023","-27,512",-547,"-5,274","-4,464","1,040,282","180,678","-15,558","2,744","-18,297","-15,383","-9,948","-1,021","28,581","-54,356","-129,122"
Liquidity & Cash Flow,DSO,232.4,168.4,69.0,67.8,2.9,2.3,3.1,2.4,2.0,2.1,1.5,1.6,1.7,1.5,1.0,0.8
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,238.5,181.6,132.3,68.2,10.3,11.8,42.2,50.8,63.0,80.5,47.9,39.3,31.8,20.8,14.9,16.3
Liquidity & Cash Flow,CCC,-6.1,-13.2,-63.3,-0.4,-7.4,-9.5,-39.1,-48.4,-61.0,-78.4,-46.3,-37.8,-30.2,-19.3,-14.0,-15.5
Liquidity & Cash Flow,OCF ($k),"568,726","273,808","134,545","8,477","-24,319","42,896","50,794","50,515","67,346","65,114","159,397","101,891","228,744","205,187","198,940","250,566"
